ID,Category,Cookie / Data Key name,Domain
1,functional,cookiePreferences,AWD
2,functional,CookieConsent,cookiebot.com
3,functional,CookieConsentBulkTicket,cookiebot.com
4,functional,userlang,cookiebot.com
5,functional,cookieconsent_variant,AWD
6,functional,cookieconsent_system,AWD
7,functional,cookieconsent_level,AWD
8,functional,cookieconsent_seen,AWD
9,functional,CookieConsent,AWD
10,site_analytics,_ga,google-site_analytics.com
11,site_analytics,_ga_,google-site_analytics.com
12,site_analytics,_gid,google-site_analytics.com
13,site_analytics,_gat,google-site_analytics.com
14,site_analytics,_dc_gtm_,google-site_analytics.com
15,site_analytics,AMP_TOKEN,google-site_analytics.com
16,site_analytics,_gat_gtag_,google-site_analytics.com
17,marketing,_gac_,google-site_analytics.com
18,site_analytics,__utma,google-site_analytics.com
19,site_analytics,__utmt,google-site_analytics.com
20,site_analytics,__utmb,google-site_analytics.com
21,site_analytics,__utmc,google-site_analytics.com
22,site_analytics,__utmz,google-site_analytics.com
23,site_analytics,__utmv,google-site_analytics.com
24,site_analytics,__utmx,google-site_analytics.com
25,site_analytics,__utmxx,google-site_analytics.com
26,functional,_GRECAPTCHA,google.com
27,site_analytics,S1,nl.sitestat.com
28,site_analytics,C1,nl.sitestat.com
29,site_analytics,s_cc,AWD
30,site_analytics,s_sq,AWD
31,site_analytics,s_vi,207.net
32,site_analytics,s_fid,AWD
33,site_analytics,fid,AWD
34,marketing,demdex,demdex.net
35,marketing,dextp,AWD
36,marketing,dst,AWD
37,marketing,_dp,demdex.net
38,marketing,aam_uuid,AWD
39,marketing,AMCV_,AWD
40,marketing,AMCVS_,AWD
41,marketing,mbox,AWD
42,functional,at_check,AWD
43,functional,renderid,AWD
44,site_analytics,s_ppv,AWD
45,site_analytics,s_tp,AWD
46,marketing,TPC,adform.net
47,marketing,C,adform.net
48,marketing,uid,adform.net
49,marketing,cid,adform.net
50,marketing,GCM,adform.net
51,marketing,CM,adform.net
52,marketing,CM14,adform.net
53,marketing,token,adform.net
54,marketing,otsid,adform.net
55,marketing,adtrc,adform.net
56,marketing,SR<RotatorID>,adform.net
57,marketing,CT<TrackingSetupID>,adform.net
58,marketing,EBFCD<BannerID>,adform.net
59,marketing,EBFC<BannerID>,adform.net
60,marketing,CFFC<TagID>,adform.net
61,marketing,DigiTrust.v1.identity,adform.net
62,marketing,lu,facebook.com
63,marketing,xs,facebook.com
64,marketing,c_user,facebook.com
65,marketing,m_user,facebook.com
66,marketing,pl,facebook.com
67,marketing,dbln,facebook.com
68,marketing,aks,facebook.com
69,marketing,aksb,facebook.com
70,marketing,sfau,facebook.com
71,marketing,ick,facebook.com
72,marketing,csm,facebook.com
73,marketing,s,facebook.com
74,marketing,datr,facebook.com
75,marketing,sb,facebook.com
76,marketing,fr,facebook.com
77,marketing,oo,facebook.com
78,marketing,ddid,facebook.com
79,marketing,locale,facebook.com
80,marketing,_fbp,facebook.com
81,marketing,_fbc,facebook.com
82,marketing,js_ver,facebook.com
83,marketing,rc,facebook.com
84,marketing,campaign_click_url,facebook.com
85,functional,wd,facebook.com
86,marketing,IDE,doubleclick.net
87,marketing,DSID,doubleclick.net
88,marketing,ID,doubleclick.net
89,marketing,RUL,doubleclick.net
90,marketing,__gads,AWD
91,marketing,GoogleAdServingTest,AWD
92,marketing,fl_inst,creative-serving.com
93,marketing,pvc2,creative-serving.com
94,marketing,pcc2,creative-serving.com
95,marketing,trc,creative-serving.com
96,marketing,tuuid,creative-serving.com
97,marketing,ad2,creative-serving.com
98,marketing,MR,bing.com
99,marketing,MUID,bing.com
100,marketing,MUIDB,bing.com
101,marketing,MC1,bing.com
102,marketing,MSFPC,bing.com
103,marketing,_uetsid,bing.com
104,marketing,MR,microsoft.com
105,marketing,MUID,microsoft.com
106,marketing,MUIDB,microsoft.com
107,marketing,MC1,microsoft.com
108,marketing,MSFPC,microsoft.com
109,marketing,_uetsid,microsoft.com
110,marketing,_uetvid,bing.com
111,marketing,_uetvid,microsoft.com
112,marketing,ANON,microsoft.com
113,marketing,ANONCHK,microsoft.com
114,marketing,CC,microsoft.com
115,functional,PPAuth,microsoft.com
116,functional,MSPAuth,microsoft.com
117,functional,MSNRPSAuth,microsoft.com
118,functional,KievRPSAuth,microsoft.com
119,functional,WLSSC,microsoft.com
120,functional,MSPProf,microsoft.com
121,functional,MC0,microsoft.com
122,functional,MS0,microsoft.com
123,marketing,NAP,microsoft.com
124,marketing,MH,microsoft.com
125,marketing,childinfo,microsoft.com
126,marketing,kcdob,microsoft.com
127,marketing,kcrelid,microsoft.com
128,marketing,kcru,microsoft.com
129,marketing,pcfm,microsoft.com
130,functional,x-ms-gateway-slice,microsoft.com
131,marketing,ToptOut,bing.com or microsoft.com
132,marketing,ACH01,bing.com
133,functional,AADSSO,microsoft.com
134,functional,brcap,microsoft.com
135,functional,SRM_B,microsoft.com
136,functional,buid,microsoft.com
137,functional,esctx,microsoft.com
138,functional,fpc,microsoft.com
139,functional,stsservicecookie,microsoft.com
140,functional,ARRAffinity,AWD
141,functional,ARRAffinitySameSite,AWD
142,functional,__AntiXsrfToken,AWD
143,functional,.ASPXANONYMOUS,AWD
144,functional,.ASPXAUTH,AWD
145,functional,nSGt-,microsoft.com
146,functional,RpsContextCookie,microsoft.com
147,functional,ASLBSACORS,AWD
148,functional,ASLBSA,AWD
149,functional,ASPSESSIONID,AWD
150,functional,ApplicationGatewayAffinity,AWD
151,functional,ApplicationGatewayAffinityCORS,AWD
152,functional,VisitorStorageGuid,AWD
153,functional,ai_session,AWD
154,functional,ai_user,AWD
155,functional,AADNonce.forms,forms.office.com
156,functional,DcLcid,forms.office.com
157,site_analytics,_clck,clarity.ms
158,site_analytics,_clsk,clarity.ms
159,marketing,guest_id,twitter.com
160,marketing,personalization_id,twitter.com
161,marketing,ct0,twitter.com
162,marketing,gt,twitter.com
163,site_analytics,N/A,moatads.com
164,site_analytics,N/A,dmai.com
165,site_analytics,N/A,meetrics.net
166,site_analytics,__insp_pad,Inspectlet.com
167,site_analytics,__insp_sid,Inspectlet.com
168,site_analytics,__insp_ref,Inspectlet.com
169,site_analytics,__insp_scpt,Inspectlet.com
170,site_analytics,__insp_nv,Inspectlet.com
171,site_analytics,__insp_wid,Inspectlet.com
172,site_analytics,__insp_uid,Inspectlet.com
173,site_analytics,__insp_dct,Inspectlet.com
174,site_analytics,CTK,conv.indeed.com
175,site_analytics,ctkgen,conv.indeed.com
176,site_analytics,INDEED_CSRF_TOKEN,conv.indeed.com
177,site_analytics,jasx_pool_id,conv.indeed.com
178,site_analytics,pagead/conv/%INTEGER%,conv.indeed.com
179,site_analytics,tv_spot_tracker,AWD
180,functional,cookie-consent-io,AWD
181,functional,cookie-consent-io-timestamp,AWD
182,functional,cookie-consent-io-gdpr,AWD
183,marketing,GPS,youtube.com
184,marketing,VISITOR_INFO1_LIVE,youtube.com
185,functional,PREF,youtube.com
186,functional,YSC,youtube.com
187,marketing,__adm_ui,admatic.com.tr
188,marketing,__adm_uiex,admatic.com.tr
189,marketing,__adm_usyncc,admatic.com.tr
190,functional,__cfduid,AWD
191,functional,__cfruid,AWD
192,functional,__cf_bm,AWD
193,marketing,__uin_bw,.go.sonobi.com
194,marketing,__uir_bw,.go.sonobi.com
195,marketing,__uis,.go.sonobi.com
196,marketing,HAPLB5S,.go.sonobi.com
197,marketing,_dbefe,contextweb.com
198,site_analytics,_hjid,AWD
199,site_analytics,_hjIncludedInSample,AWD
200,site_analytics,_hjClosedSurveyInvites,AWD
201,site_analytics,_hjDonePolls,AWD
202,site_analytics,_hjMinimizedPolls,AWD
203,site_analytics,_hjDoneTestersWidgets,AWD
204,site_analytics,_hjMinimizedTestersWidgets,AWD
205,site_analytics,_hjShownFeedbackMessage,AWD
206,functional,_hjTLDTest,AWD
207,functional,_hjUserAttributesHash,AWD
208,site_analytics,_hjCachedUserAttributes,AWD
209,functional,_hjLocalStorageTest,AWD
210,functional,_hjptid,AWD
211,functional,_hjAbsoluteSessionInProgress,AWD
212,functional,_hjFirstSeen,AWD
213,functional,_hjIncludedInPageviewSample,AWD
214,functional,_hjIncludedInSessionSample,AWD
215,functional,_hjSession_,AWD
216,functional,_hjSessionUser_,AWD
217,marketing,_kuid_,krxd.net
218,marketing,_twitter_sess,twitter.com
219,marketing,_gcl_au,AWD
220,marketing,ac_enable_tracking,AWD
221,functional,ASP.NET_SessionId,AWD
222,functional,ASP.NET_SessionId_Fallback,AWD
223,functional,JSESSIONID,AWD
224,functional,laravel_session,AWD
225,functional,PHPSESSID,AWD
226,functional,XSRF-TOKEN,AWD
227,marketing,lidc,linkedin.com
228,marketing,bcookie,linkedin.com
229,marketing,bscookie,linkedin.com
230,marketing,trkCode,linkedin.com
231,marketing,trkInfo,linkedin.com
232,marketing,li_oatml,linkedin.com
233,marketing,liap,linkedin.com
234,marketing,lissc,linkedin.com
235,marketing,spectroscopyId,linkedin.com
236,marketing,UserMatchHistory,linkedin.com
237,functional,lang,linkedin.com
238,functional,li_gc,linkedin.com
239,functional,li_rm,linkedin.com
240,functional,site_analyticsSyncHistory,linkedin.com
241,functional,GCLB,AWD
242,functional,AWSALB,AWD
243,functional,AWSALBCORS,AWD
244,functional,AWSELBCORS,AWD
245,functional,AWSELB,AWD
246,marketing,CMID,casalemedia.com
247,marketing,CMPRO,casalemedia.com
248,marketing,CMPS,casalemedia.com
249,marketing,CMRUM3,casalemedia.com
250,marketing,CMST,casalemedia.com
251,marketing,cookieJartestCookie,outbrain.com
252,marketing,obuid,outbrain.com
253,marketing,apnxs,outbrain.com
254,marketing,criteo,outbrain.com
255,marketing,mdfrc,outbrain.com
256,marketing,adrl,outbrain.com
257,marketing,ttd,outbrain.com
258,marketing,jpxumaster,justpremium.com
259,marketing,jpxumatched,justpremium.com
260,marketing,PUBMDCID,pubmatic.com
261,marketing,PugT,pubmatic.com
262,functional,Kiyohnl,kiyoh.nl
263,marketing,id5,id5-sync.com
264,marketing,cip,id5-sync.com
265,marketing,car,id5-sync.com
266,marketing,callback,id5-sync.com
267,marketing,cnac,id5-sync.com
268,marketing,cf,id5-sync.com
269,functional,gdpr,id5-sync.com
270,marketing,UIDR,scorecardresearch.com
271,marketing,SEUNCY,semasio.net
272,marketing,OAID,AWD
273,marketing,ljt_reader,AWD
274,marketing,rek_content,rekmob.com
275,marketing,um,ad.360yield.com
276,marketing,umeh,ad.360yield.com
277,marketing,BSWtracker,vmg.host
278,marketing,_rxuuid,1rx.io
279,marketing,AA003,atdmt.com
280,marketing,ATN,atdmt.com
281,marketing,tt_viewer,teads.com
282,functional,cfid,AWD
283,functional,cftoken,AWD
284,functional,test_cookie,doubleclick.net
285,marketing,gckp,cxense.com
286,marketing,um2,visx.net
287,marketing,tuuid_lu,bidswitch.net
288,marketing,uu,adscale.de
289,marketing,betweendigital.com,ut
290,functional,ss,betweendigital.com
291,marketing,st_csd,seedtag.com
292,marketing,st_cs,seedtag.com
293,functional,_gaexp,AWD
294,marketing,TestIfCookieP,AWD
295,marketing,pid,AWD
296,functional,.AspNetCore.Antiforgery.,AWD
297,marketing,unruly_m,AWD
298,marketing,KRTBCOOKIE_,pubmatic.com
299,marketing,bdswch,outbrain.com
300,marketing,csync,smartadservermarketing.com
301,marketing,lidid,liadm.com
302,site_analytics,f5_cspm,simage2.pubmatic.com
303,marketing,tluid,3lift.com
304,marketing,t_gid,taboola.com
305,marketing,__zlcmid,AWD
306,marketing,i,AWD
307,marketing,dpm,demdex.net
308,functional,__atuvc,addthis.com
309,functional,__atuvs,addthis.com
310,functional,ssc,addthis.com
311,functional,uvc,addthis.com
312,functional,loc,addthis.com
313,functional,na_id,addthis.com
314,functional,na_tc,addthis.com
315,functional,ouid,addthis.com
316,marketing,DG_HID,funda.nl
317,marketing,DG_IID,funda.nl
318,marketing,DG_SID,funda.nl
319,marketing,DG_UID,funda.nl
320,marketing,DG_ZID,funda.nl
321,marketing,DG_ZUID,funda.nl
322,functional,fonts-loaded,funda.nl
323,functional,html-classes,funda.nl
324,functional,SNLB2,funda.nl
325,functional,lz_last_visit,AWD
326,functional,lz_userid,AWD
327,functional,lz_visits,AWD
328,functional,.secureclient,AWD
329,functional,.securesession,AWD
330,functional,.stateflags,AWD
331,functional,.auth,AWD
